"file","year","month","tmax","tmin","ppt"
"tmax_4kmM2_201807","2018","07",30.8096365495162,NA,NA
"tmax_4kmM2_201808","2018","08",30.7148182608865,NA,NA
"tmax_4kmM2_201809","2018","09",26.8164546272971,NA,NA
"tmax_4kmM2_201810","2018","10",20.0448180111972,NA,NA
"tmax_4kmM2_201811","2018","11",10.840817971663,NA,NA
"tmax_4kmM2_201812","2018","12",8.92090901461515,NA,NA
"tmax_4kmM2_198101","1981","01",3.59818183292042,NA,NA
"tmax_4kmM2_198102","1981","02",10.5536362908103,NA,NA
"tmax_4kmM2_198103","1981","03",12.4209090146151,NA,NA
"tmax_4kmM2_198104","1981","04",21.9454545107755,NA,NA
"tmax_4kmM2_198105","1981","05",23.426363511519,NA,NA
"tmax_4kmM2_198106","1981","06",29.611817966808,NA,NA
"tmax_4kmM2_198107","1981","07",30.4236365231601,NA,NA
"tmax_4kmM2_198108","1981","08",29.1172726371072,NA,NA
"tmax_4kmM2_198109","1981","09",25.5818181471391,NA,NA
"tmax_4kmM2_198110","1981","10",19.0881815823642,NA,NA
"tmax_4kmM2_198111","1981","11",14.1327273628928,NA,NA
"tmax_4kmM2_198112","1981","12",6.45818185806274,NA,NA
"tmax_4kmM2_198201","1982","01",2.11363637447357,NA,NA
"tmax_4kmM2_198202","1982","02",8.02545456452803,NA,NA
"tmax_4kmM2_198203","1982","03",12.3399999791926,NA,NA
"tmax_4kmM2_198204","1982","04",18.2518182234331,NA,NA
"tmax_4kmM2_198205","1982","05",25.9472727342085,NA,NA
"tmax_4kmM2_198206","1982","06",26.7690906524658,NA,NA
"tmax_4kmM2_198207","1982","07",31.0390905900435,NA,NA
"tmax_4kmM2_198208","1982","08",28.5909089175138,NA,NA
"tmax_4kmM2_198209","1982","09",26.1709091880105,NA,NA
"tmax_4kmM2_198210","1982","10",20.4363632202148,NA,NA
"tmax_4kmM2_198211","1982","11",16.004545471885,NA,NA
"tmax_4kmM2_198212","1982","12",11.7518182234331,NA,NA
"tmax_4kmM2_198301","1983","01",6.47363636710427,NA,NA
"tmax_4kmM2_198302","1983","02",7.97272725538774,NA,NA
"tmax_4kmM2_198303","1983","03",13.3809089660645,NA,NA
"tmax_4kmM2_198304","1983","04",16.1690910512751,NA,NA
"tmax_4kmM2_198305","1983","05",23.4127277027477,NA,NA
"tmax_4kmM2_198306","1983","06",28.9518179460005,NA,NA
"tmax_4kmM2_198307","1983","07",32.1754543998025,NA,NA
"tmax_4kmM2_198308","1983","08",31.9918178211559,NA,NA
"tmax_4kmM2_198309","1983","09",27.9636367451061,NA,NA
"tmax_4kmM2_198310","1983","10",20.1236365925182,NA,NA
"tmax_4kmM2_198311","1983","11",14.9436363740401,NA,NA
"tmax_4kmM2_198312","1983","12",5.61636365543712,NA,NA
"tmax_4kmM2_198401","1984","01",3.72727274894714,NA,NA
"tmax_4kmM2_198402","1984","02",10.539999961853,NA,NA
"tmax_4kmM2_198403","1984","03",9.30818176269531,NA,NA
"tmax_4kmM2_198404","1984","04",17.0309091047807,NA,NA
"tmax_4kmM2_198405","1984","05",23.6872728521174,NA,NA
"tmax_4kmM2_198406","1984","06",29.8809089660645,NA,NA
"tmax_4kmM2_198407","1984","07",29.2109094099565,NA,NA
"tmax_4kmM2_198408","1984","08",29.8618181402033,NA,NA
"tmax_4kmM2_198409","1984","09",25.4900001179088,NA,NA
"tmax_4kmM2_198410","1984","10",22.4699998335405,NA,NA
"tmax_4kmM2_198411","1984","11",13.2309091741388,NA,NA
"tmax_4kmM2_198412","1984","12",12.939999927174,NA,NA
"tmax_4kmM2_198501","1985","01",3.58727270906622,NA,NA
"tmax_4kmM2_198502","1985","02",7.99636359648271,NA,NA
"tmax_4kmM2_198503","1985","03",14.3263636502353,NA,NA
"tmax_4kmM2_198504","1985","04",22.2745456695557,NA,NA
"tmax_4kmM2_198505","1985","05",25.2890909368342,NA,NA
"tmax_4kmM2_198506","1985","06",27.5127272172408,NA,NA
"tmax_4kmM2_198507","1985","07",30.9363633936102,NA,NA
"tmax_4kmM2_198508","1985","08",29.5918182026256,NA,NA
"tmax_4kmM2_198509","1985","09",27.7554544969039,NA,NA
"tmax_4kmM2_198510","1985","10",21.0927271409468,NA,NA
"tmax_4kmM2_198511","1985","11",16.3445453643799,NA,NA
"tmax_4kmM2_198512","1985","12",7.04363640871915,NA,NA
"tmax_4kmM2_198601","1986","01",6.74181812459772,NA,NA
"tmax_4kmM2_198602","1986","02",5.21818182685158,NA,NA
