"ID","site","area","upland_type","rep","ABTH","AMAR2","AMCA2","ANVI2","BAHA","BIAR","CEFOV2","CHFA2","CYIR","CYPO","CYRE5","CYST","DICL","DIDI6","DIIS","DISA","DISP","ECCR","ECCR2","ECMU2","ECPR","ERCA20","ERHI12","EUSE2","FICA4","HYUM","ILOP","IVFR","JUBU","LEVI2","LOPE","LUAL2","MISC","MIVI","MOCE","MOCE2","NUCA","PADI","PASE2","PASE5","PAVI2","PHAU","PHAU7","PIPU2","PITA","PLOD","POAM","POAN","PODE3","POPE2","POPUP4","RASA","RASC","RASC3","SAVA3","SEFA","SEPU8","SEVI4","SOSE","SPPA","SPRU","SSPA","STME2","SYSU5","VEPE2","X.NA."
"and_ecotone_field_1","and","ecotone","field",1,0,7,0,0,2,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0
"and_ecotone_field_2","and","ecotone","field",2,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"and_ecotone_field_3","and","ecotone","field",3,0,0,0,0,0,0,2,0,0,1,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"and_ecotone_field_4","and","ecotone","field",4,0,12,0,0,1,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"and_ecotone_field_5","and","ecotone","field",5,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"and_upland_field_1","and","upland","field",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1,8,0
"and_upland_field_2","and","upland","field",2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,29,0,0,0,0,0,0,0,2,3,0
"and_upland_field_3","and","upland","field",3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,9,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,2,3,1,0
"and_upland_field_4","and","upland","field",4,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"and_upland_field_5","and","upland","field",5,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,24,0,0
"and_wet_field_1","and","wet","field",1,0,14,0,0,2,0,0,1,0,4,0,1,0,0,1,15,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"and_wet_field_2","and","wet","field",2,0,7,0,0,2,0,0,0,0,11,0,1,0,0,0,8,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,21,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
